id,nama_calon,nama_wakil_calon,qwords
550,"Dr. H. NAJMUL AKHYAR, SH.,MH","SARIFUDIN, SH","info pasangan calon Dr. H. NAJMUL AKHYAR, SH.,MH SARIFUDIN, SH"
769,"H. DJOHAN SJAMSU, SH","MARIADI, S.Ag","info pasangan calon H. DJOHAN SJAMSU, SH MARIADI, S.Ag"
909,DR. H. Badaruddin A. Picunang,"Andi Baso Makmur, SE","info pasangan calon DR. H. Badaruddin A. Picunang Andi Baso Makmur, SE"
911,H. M. Nur Husain,Drs. Esra Lamban,info pasangan calon H. M. Nur Husain Drs. Esra Lamban
732,Ir. M. Thorig Husler,Irwan Bahri Syam,info pasangan calon Ir. M. Thorig Husler Irwan Bahri Syam
667,"HJ. INDAH PUTRI INDRIANI, S.IP, M.SI","MUH.THAHAR RUM, SH","info pasangan calon HJ. INDAH PUTRI INDRIANI, S.IP, M.SI MUH.THAHAR RUM, SH"
410,DRS. H. ARIFIN JUNAIDI,"ANDI. ABDULLAH RAHIM, ST","info pasangan calon DRS. H. ARIFIN JUNAIDI ANDI. ABDULLAH RAHIM, ST"
187,DRS. STANISLAUS LIAH,"KILA ULEE HERMAN, SE., M.Si","info pasangan calon DRS. STANISLAUS LIAH KILA ULEE HERMAN, SE., M.Si"
584,"BONIFASIUS BELAWAN GEH, SE.",DRS. Y. JUAN JENAU,"info pasangan calon BONIFASIUS BELAWAN GEH, SE. DRS. Y. JUAN JENAU"
586,"MS. RUSLAN, SH., MH., M.Si","DRS. VALENTINUS TINGANG, MM.","info pasangan calon MS. RUSLAN, SH., MH., M.Si DRS. VALENTINUS TINGANG, MM."
647,"Drs. H.Fahmi Massiara, MH","Lukman, S.Pd.,M.Pd","info pasangan calon Drs. H.Fahmi Massiara, MH Lukman, S.Pd.,M.Pd"
649,"H. Arifin Nurdin, SE.,M.SAk","Andi Irfan Sulaiman, SE.,M.Ap","info pasangan calon H. Arifin Nurdin, SE.,M.SAk Andi Irfan Sulaiman, SE.,M.Ap"
651,"DRS.H.Rizal Sirajuddin,M.Si","DR.Mulyadi Bintaha, S.Pd.,M.Pd","info pasangan calon DRS.H.Rizal Sirajuddin,M.Si DR.Mulyadi Bintaha, S.Pd.,M.Pd"
868,dr. Stefanus Bria Seran MPH,Drs. Daniel Asa,info pasangan calon dr. Stefanus Bria Seran MPH Drs. Daniel Asa
874,"Taolin Ludovikus, BA","Benny Chandradinata, SE","info pasangan calon Taolin Ludovikus, BA Benny Chandradinata, SE"
876,"Agustinus Klaran, ST","Paulus Seran Bauk, SH","info pasangan calon Agustinus Klaran, ST Paulus Seran Bauk, SH"
455,H. RENDRA KRESNA,H.M. SANUSI,info pasangan calon H. RENDRA KRESNA H.M. SANUSI
611,"Dra. Hj. DEWANTI RUMPOKO, M.Si","Dra. Hj. MASRIFAH HADI, M.Pd","info pasangan calon Dra. Hj. DEWANTI RUMPOKO, M.Si Dra. Hj. MASRIFAH HADI, M.Pd"
70,NURCHOLIS,MUHAMMAD MUFIDZ,info pasangan calon NURCHOLIS MUHAMMAD MUFIDZ
531,"Pdt. MARTIN LABO, M.Th, M.Si","H DATU MUHAMMAD NASIR, SH","info pasangan calon Pdt. MARTIN LABO, M.Th, M.Si H DATU MUHAMMAD NASIR, SH"
957,"Dr. Yansen Tp, M.Si","Topan Amrullah, S.Pd, M.Si","info pasangan calon Dr. Yansen Tp, M.Si Topan Amrullah, S.Pd, M.Si"
1109,Nikolas Johan KiliKily S.Th,Drs.Johannis Hendrik Frans,info pasangan calon Nikolas Johan KiliKily S.Th Drs.Johannis Hendrik Frans
439,Simon Moshe Maahury,"Kimdevits Berthi Marcus, SH","info pasangan calon Simon Moshe Maahury Kimdevits Berthi Marcus, SH"
1110,Drs. Barnabas Orno,Benyamin Thomas Noach. ST,info pasangan calon Drs. Barnabas Orno Benyamin Thomas Noach. ST
460,"DORINUS DASINAPA, A.Ks, S.Sos","YAKOBUS BRITAI, S.IP","info pasangan calon DORINUS DASINAPA, A.Ks, S.Sos YAKOBUS BRITAI, S.IP"
658,"ROBBY WILSON RUMANSARA, SP, MH","YAHYA FRUARO, SE","info pasangan calon ROBBY WILSON RUMANSARA, SP, MH YAHYA FRUARO, SE"
660,"DEMIANUS KYEUW-KYEUW, SH, MH","ADIRYANUS MANEMI, SKM, MPH","info pasangan calon DEMIANUS KYEUW-KYEUW, SH, MH ADIRYANUS MANEMI, SKM, MPH"
1028,"Drs. H. HABSI WAHID, MM","H. IRWAN SATYA PUTRA PABABARI, SH.,M.TP","info pasangan calon Drs. H. HABSI WAHID, MM H. IRWAN SATYA PUTRA PABABARI, SH.,M.TP"
1029,Ir. BUSTAMIN BAUSAT,"H. DAMRIS, S.Pd","info pasangan calon Ir. BUSTAMIN BAUSAT H. DAMRIS, S.Pd"
1030,"H. AHMAD, S.SOS","ABD. JAWAS GANI, SH.,MH","info pasangan calon H. AHMAD, S.SOS ABD. JAWAS GANI, SH.,MH"
885,HADERANA,MUHAMMAD AMIN SP,info pasangan calon HADERANA MUHAMMAD AMIN SP
886,H. ARAS T,DRS. MUH AMIN JASA. MM.,info pasangan calon H. ARAS T DRS. MUH AMIN JASA. MM.
879,"Muhammad Yusri M Nur, ST, M.Si",Drs. Amran S Nuhung,"info pasangan calon Muhammad Yusri M Nur, ST, M.Si Drs. Amran S Nuhung"
882,"Ir.H. AGUS AMBO DJIWA, MP",Drs.H. Muhammad Saal,"info pasangan calon Ir.H. AGUS AMBO DJIWA, MP Drs.H. Muhammad Saal"
282,"Drs. HM. Yusuf Nasution, Msi","HM. Imron Lubis, Spd,MM","info pasangan calon Drs. HM. Yusuf Nasution, Msi HM. Imron Lubis, Spd,MM"
974,Drs. H. Dahlan Hasan Nasution,Muhammad Ja'far Sukhairi Nasution,info pasangan calon Drs. H. Dahlan Hasan Nasution Muhammad Ja'far Sukhairi Nasution
1051,"Dr. DENO KAMELUS, SH. MH",Drs. VICTOR MADUR,"info pasangan calon Dr. DENO KAMELUS, SH. MH Drs. VICTOR MADUR"
1052,"HERYBERTUS GERADUS LAJU NABIT, SE.MA","ADOLFUS GABUR, B.Sc, S.Sos","info pasangan calon HERYBERTUS GERADUS LAJU NABIT, SE.MA ADOLFUS GABUR, B.Sc, S.Sos"
1077,"IR. PANTAS FERDINANDUS, M.SI",YOHANES DIONISIUS HAPAN,"info pasangan calon IR. PANTAS FERDINANDUS, M.SI YOHANES DIONISIUS HAPAN"
1078,"DRS. GASA MAXIMUS, M.SI","H. ABDUL ASIS, M.Pd.i","info pasangan calon DRS. GASA MAXIMUS, M.SI H. ABDUL ASIS, M.Pd.i"
1080,DRS. AGUSTINUS CH. DULA,"Drh. MARIA GEONG, Ph.D","info pasangan calon DRS. AGUSTINUS CH. DULA Drh. MARIA GEONG, Ph.D"
1084,"MATEUS HAMSI, S.Sos","Drs. PAUL SERAK BAUT, M.Si","info pasangan calon MATEUS HAMSI, S.Sos Drs. PAUL SERAK BAUT, M.Si"
1086,Drs. TOBIAS WANUS,FRANSISKUS SUKMANIARA,info pasangan calon Drs. TOBIAS WANUS FRANSISKUS SUKMANIARA
132,"SEPRIANUS ADOLF RUMPABE, SH.,MH","SALOMIE CHRISTINA SAWAY, SH","info pasangan calon SEPRIANUS ADOLF RUMPABE, SH.,MH SALOMIE CHRISTINA SAWAY, SH"
134,"Drs. BERNARD SEFNAT BONEFTAR, M.H","ANDARIAS WAN, SH","info pasangan calon Drs. BERNARD SEFNAT BONEFTAR, M.H ANDARIAS WAN, SH"
634,"Drs. BASTIAN SALABAI, S.Th, ma, M.Th",YUSAK KAMBUAYA,"info pasangan calon Drs. BASTIAN SALABAI, S.Th, ma, M.Th YUSAK KAMBUAYA"
1038,"DEMAS PAULUS MANDACAN, S.Sos., M.Cc.Dev",Drs. EDY BUDOYO,"info pasangan calon DEMAS PAULUS MANDACAN, S.Sos., M.Cc.Dev Drs. EDY BUDOYO"
1149,"David Towan Siba, S.Sos, M.Si.","Maxi Ahoren, A.Md, KP, SE.","info pasangan calon David Towan Siba, S.Sos, M.Si. Maxi Ahoren, A.Md, KP, SE."
1148,"Markus Waran, ST.","Wempi Welly Rengkung, SE","info pasangan calon Markus Waran, ST. Wempi Welly Rengkung, SE"
375,"Ir. H. M. HATTA RAHMAN, MM","Drs. H. A. HARMIL MATTOTORANG, MM","info pasangan calon Ir. H. M. HATTA RAHMAN, MM Drs. H. A. HARMIL MATTOTORANG, MM"
1011,"H. A. HUSAIN RASUL, SH",SUDIRMAN,"info pasangan calon H. A. HUSAIN RASUL, SH SUDIRMAN"
1012,"Ir. H. MUH. IMRAN YUSUF, MM",H. M. SAID PATOMBONGI,"info pasangan calon Ir. H. MUH. IMRAN YUSUF, MM H. M. SAID PATOMBONGI"
903,"H. Firman Muntaco, SH, MH","Drs. John Murkanto Ajan, M.Si","info pasangan calon H. Firman Muntaco, SH, MH Drs. John Murkanto Ajan, M.Si"
477,"Panji, S.Sos","Dadi Sunarya Usfa Yursa, A.Md.","info pasangan calon Panji, S.Sos Dadi Sunarya Usfa Yursa, A.Md."
1016,"Drs. ROMANUS MBARAKA, MT","SUGIYANTO, SH, MM","info pasangan calon Drs. ROMANUS MBARAKA, MT SUGIYANTO, SH, MM"
1018,"FREDERIKUS GEBZE, SE, M.Si","SULARSO, SE","info pasangan calon FREDERIKUS GEBZE, SE, M.Si SULARSO, SE"
368,DRS.SOMPIE S.F. SINGAL,"DR. PEGGY MEKEL,SE,MA","info pasangan calon DRS.SOMPIE S.F. SINGAL DR. PEGGY MEKEL,SE,MA"
693,"PETRUS JOHANIS LUNTUNGAN,BA","DR. Ir. ADOLF LUCKY LONGDONG, M.Ed","info pasangan calon PETRUS JOHANIS LUNTUNGAN,BA DR. Ir. ADOLF LUCKY LONGDONG, M.Ed"
524,YULISA BARAMULI,PATRICE MARIO TAMENGKEL,info pasangan calon YULISA BARAMULI PATRICE MARIO TAMENGKEL
678,VONNIE ANNEKE PANAMBUNAN,IR. JOPPI LENGKONG,info pasangan calon VONNIE ANNEKE PANAMBUNAN IR. JOPPI LENGKONG
176,MISNAN,RAHMA SHOFIANA W.A,info pasangan calon MISNAN RAHMA SHOFIANA W.A
338,"H. MUSTOFA KAMAL FASA, SE","H. PUNGKASIADI, SH","info pasangan calon H. MUSTOFA KAMAL FASA, SE H. PUNGKASIADI, SH"
990,"Dra. Hj. CHOIRUN NISA, M. Pd","H. ARIFUDINSJAH, SH","info pasangan calon Dra. Hj. CHOIRUN NISA, M. Pd H. ARIFUDINSJAH, SH"
1073,"Idham Ibrahim, SE, M.SE","Heymans Larope, SE","info pasangan calon Idham Ibrahim, SE, M.SE Heymans Larope, SE"
1074,"Mahmud Ibrahim, S.Sos.,MM",Sanda Rinding,"info pasangan calon Mahmud Ibrahim, S.Sos.,MM Sanda Rinding"
1075,"Mardiman Sane, SH.,MH","Anhar, SK.,SH","info pasangan calon Mardiman Sane, SH.,MH Anhar, SK.,SH"
1072,"Ir. Artipel Tumimomor, MT",Moh. Asrar Abdul Samad,"info pasangan calon Ir. Artipel Tumimomor, MT Moh. Asrar Abdul Samad"
512,"Choirul Huda, SH","Haidir, S.IP","info pasangan calon Choirul Huda, SH Haidir, S.IP"
342,Wismen A. Razak,H. Bambang Afriadi,info pasangan calon Wismen A. Razak H. Bambang Afriadi
345,"Sapuan, SE., MM., Ak., CA","Dedy Kurniawan, S.Sos","info pasangan calon Sapuan, SE., MM., Ak., CA Dedy Kurniawan, S.Sos"
991,"H. La Ode Arwaha Ady Saputra, S.Sg, M.Si",Ir. La Ode Samuna,"info pasangan calon H. La Ode Arwaha Ady Saputra, S.Sg, M.Si Ir. La Ode Samuna"
341,Drs. AAP APTADI,Drs. H.DODO DJUANDA,info pasangan calon Drs. AAP APTADI Drs. H.DODO DJUANDA
307,"HJ. IRNA NARULITA, SE., MM.","H. TANTO WARSONO ARBAN, S.E., ME.","info pasangan calon HJ. IRNA NARULITA, SE., MM. H. TANTO WARSONO ARBAN, S.E., ME."
1150,JEJE WIRADINATA,H. ADANG HADARI,info pasangan calon JEJE WIRADINATA H. ADANG HADARI
1151,AZIZAH TALITA DEWI .S.Sos.MM,"SULAKSANA, ST.MT","info pasangan calon AZIZAH TALITA DEWI .S.Sos.MM SULAKSANA, ST.MT"
1152,INO DARSONO,dr.H. ERWIN M THAMRIN,info pasangan calon INO DARSONO dr.H. ERWIN M THAMRIN
685,"DRS. H. NUR ACHMAD AS, SH",DRS. HAPSUL W. HAFATTAH,"info pasangan calon DRS. H. NUR ACHMAD AS, SH DRS. HAPSUL W. HAFATTAH"
689,H. SANGKALA H. TAEPE,"A. M. ALI GAFFAR, SE","info pasangan calon H. SANGKALA H. TAEPE A. M. ALI GAFFAR, SE"
690,"H. SYAMSUDDIN A. HAMID, SE","H. SYAHBAN SAMMANA, SH","info pasangan calon H. SYAMSUDDIN A. HAMID, SE H. SYAHBAN SAMMANA, SH"
694,"Drs. H. ABD. RAHMAN ASSAGAF, M.I.Kom","Ir. H. KAMRUSSAMAD, M.Si","info pasangan calon Drs. H. ABD. RAHMAN ASSAGAF, M.I.Kom Ir. H. KAMRUSSAMAD, M.Si"
701,"H. BENNY UTAMA, SH, MM",DANIEL,"info pasangan calon H. BENNY UTAMA, SH, MM DANIEL"
393,"H. YUSUF LUBIS, SH, MSi","ATOS PRATAMA, A.Md","info pasangan calon H. YUSUF LUBIS, SH, MSi ATOS PRATAMA, A.Md"
1060,"ZULKENEDI SAID, S.Sos","H. RISNAWANTO, SE","info pasangan calon ZULKENEDI SAID, S.Sos H. RISNAWANTO, SE"
409,"Drs. H. SYAHIRAN, MM","YULIANTO, SH","info pasangan calon Drs. H. SYAHIRAN, MM YULIANTO, SH"
847,"H.HAMSUARDI, S.Ag","Drs. H. KARTUNI, MM","info pasangan calon H.HAMSUARDI, S.Ag Drs. H. KARTUNI, MM"
655,"Dr. H. YUSRIANSYAH SYARKAWI,M.Si","H.M. MARDIKANSYAH, SH.M.Ap","info pasangan calon Dr. H. YUSRIANSYAH SYARKAWI,M.Si H.M. MARDIKANSYAH, SH.M.Ap"
639,"Ir.H.Bambang Susilo, MM",Ir.H.Sulaiman Eva Meruk. M.Ap,"info pasangan calon Ir.H.Bambang Susilo, MM Ir.H.Sulaiman Eva Meruk. M.Ap"
1192,"Daud Indow, SH","Bob Tobias Retuadan, SH, MH","info pasangan calon Daud Indow, SH Bob Tobias Retuadan, SH, MH"
1070,"YOSIAS SAROY, SH, MH","MARINUS MANDACAN, SIP","info pasangan calon YOSIAS SAROY, SH, MH MARINUS MANDACAN, SIP"
578,"YAKOBUS WAYAM, S.IP, M.Si","MARDIN MANURUNG, SE, M.Si","info pasangan calon YAKOBUS WAYAM, S.IP, M.Si MARDIN MANURUNG, SE, M.Si"
951,"SELOTIUS TAPLO, S.Hi","RUMIN LEPITALEN, SH","info pasangan calon SELOTIUS TAPLO, S.Hi RUMIN LEPITALEN, SH"
956,"COSTAN OKTEMKA, SIP","DECKY DEAL, SIP","info pasangan calon COSTAN OKTEMKA, SIP DECKY DEAL, SIP"
958,"D. NIKOLAUS KAKYARMABIN, SIP.M.Si",TONCE NABYAL,"info pasangan calon D. NIKOLAUS KAKYARMABIN, SIP.M.Si TONCE NABYAL"
355,"H. Riswadi, SH",Hj. Nurbalistik,"info pasangan calon H. Riswadi, SH Hj. Nurbalistik"
709,"H. ASIP KHOLBIHI, SH.,M.Si",Ir. Hj. ARINI HARIMURTI,"info pasangan calon H. ASIP KHOLBIHI, SH.,M.Si Ir. Hj. ARINI HARIMURTI"
807,"H.JUNAEDI, SH.MM.",Drs. H. MARTONO,"info pasangan calon H.JUNAEDI, SH.MM. Drs. H. MARTONO"
781,"MUKHAMMAD ARIFIN, A.Md.Teks","ROMI INDIARTO, S.Pt","info pasangan calon MUKHAMMAD ARIFIN, A.Md.Teks ROMI INDIARTO, S.Pt"
565,"Ir. H. HERI AMALINDO, MM","FERDIAN ANDREAS LACONY, S. Kom., MM","info pasangan calon Ir. H. HERI AMALINDO, MM FERDIAN ANDREAS LACONY, S. Kom., MM"
567,"SUKARMAN, SH",ALMARIZAN,"info pasangan calon SUKARMAN, SH ALMARIZAN"
76,"ARIES SANDI DARMA PUTRA, S.H., M.H.",MAHMUD YUNUS,"info pasangan calon ARIES SANDI DARMA PUTRA, S.H., M.H. MAHMUD YUNUS"
1177,"FADHIL HAKIM YHS, BBA","ZAINAL ABIDIN, S.Pt.","info pasangan calon FADHIL HAKIM YHS, BBA ZAINAL ABIDIN, S.Pt."
992,"dr. H. LM. Baharuddin, M.Kes","H. La Pili, S.Pd.,","info pasangan calon dr. H. LM. Baharuddin, M.Kes H. La Pili, S.Pd.,"
994,"LM. Rusman Emba, ST","Ir. H. Abdul Malik Ditu, M.Si","info pasangan calon LM. Rusman Emba, ST Ir. H. Abdul Malik Ditu, M.Si"
384,"Ir.H. Hendra Gunawan, SH. MM","Hj. Suwarti, S.IP","info pasangan calon Ir.H. Hendra Gunawan, SH. MM Hj. Suwarti, S.IP"
385,Ir. Hj. Ratna Machmud,H. M. Zabur Nawawi,info pasangan calon Ir. Hj. Ratna Machmud H. M. Zabur Nawawi
1183,"H.Zulkarnain, SE","Hj. Ratnawati, SKM","info pasangan calon H.Zulkarnain, SE Hj. Ratnawati, SKM"
1082,"Drs. H.M SARIF HIDAYAT, MM",H. DEVI SUHARTONI,"info pasangan calon Drs. H.M SARIF HIDAYAT, MM H. DEVI SUHARTONI"
388,"KHAIRUL ALAMSYAH, SE","SITI NURIZKA PUTERI JAYA, SH. MH","info pasangan calon KHAIRUL ALAMSYAH, SE SITI NURIZKA PUTERI JAYA, SH. MH"
389,"Drs. H. AKISROPI AYUB, SH, M.Si","ANDI WIJAYA, SE","info pasangan calon Drs. H. AKISROPI AYUB, SH, M.Si ANDI WIJAYA, SE"
434,Piter Warobay,A. Sunaryo,info pasangan calon Piter Warobay A. Sunaryo
629,"DECKY KAYAME, SE",Drs. ADAUKTUS TAKERUBUN,"info pasangan calon DECKY KAYAME, SE Drs. ADAUKTUS TAKERUBUN"
1224,"Zonggonau A, AMDP, SP, MSi",Drs. Isak Mandosir,"info pasangan calon Zonggonau A, AMDP, SP, MSi Drs. Isak Mandosir"
1225,Hendrik Andoi,Stefanus Iyai,info pasangan calon Hendrik Andoi Stefanus Iyai
1227,"Yakob Panus Jingga, MT",Melki Sedek Fi,"info pasangan calon Yakob Panus Jingga, MT Melki Sedek Fi"
1228,"Isaias Douw,S.Sos","Amirullah Hasyim, MM","info pasangan calon Isaias Douw,S.Sos Amirullah Hasyim, MM"
1229,"Drs.Ayub Kayame, MA",H. Suwarno Majid,"info pasangan calon Drs.Ayub Kayame, MA H. Suwarno Majid"
184,DRS. H. Ilyas Sabli,Wan Aries Monandur,info pasangan calon DRS. H. Ilyas Sabli Wan Aries Monandur
425,"Imalko, S.Sos, MH","Mustamin Bakri, S.Sos, M.Si","info pasangan calon Imalko, S.Sos, MH Mustamin Bakri, S.Sos, M.Si"
427,Rodhial Huda,Rusdi,info pasangan calon Rodhial Huda Rusdi
428,Drs. H. Abdul Hamid Rizal,Dra. Hj. Ngesti Yuni Suprapti,info pasangan calon Drs. H. Abdul Hamid Rizal Dra. Hj. Ngesti Yuni Suprapti
291,Dedi Yanto,"DRS. M. Yunus,. DIPL. LING., M.SI","info pasangan calon Dedi Yanto DRS. M. Yunus,. DIPL. LING., M.SI"
684,"PAULINUS NO WATU, S.Sos","BERNADINUS DHEY NGEBU, SP","info pasangan calon PAULINUS NO WATU, S.Sos BERNADINUS DHEY NGEBU, SP"
669,"MARIANUS SAE, S.A.P",Drs. PAULUS SOLIWOA,"info pasangan calon MARIANUS SAE, S.A.P Drs. PAULUS SOLIWOA"
677,"KORNELIS SOI, SH",JOSEPH BEI,"info pasangan calon KORNELIS SOI, SH JOSEPH BEI"
301,Ir. H. Budi Sulistyono ALIAS KANANG,"Ony Anwar, S.T","info pasangan calon Ir. H. Budi Sulistyono ALIAS KANANG Ony Anwar, S.T"
362,"Drs. Agus Bandono, M.Hum","Drs. Adi Susila, M.Si","info pasangan calon Drs. Agus Bandono, M.Hum Drs. Adi Susila, M.Si"
46,"FAIGIA'ASA BAWAMENEWI, SH","DRS. BEZATULO GULO, B.Sc","info pasangan calon FAIGIA'ASA BAWAMENEWI, SH DRS. BEZATULO GULO, B.Sc"
539,"DRS. SOKHIATULO LAOLI, MM","AROSOKHI WARUWU, SH, MH","info pasangan calon DRS. SOKHIATULO LAOLI, MM AROSOKHI WARUWU, SH, MH"
540,"HAPPY PERSATUAN NDRAHA, A.MAK","BAZISOKHI LAIA, SE","info pasangan calon HAPPY PERSATUAN NDRAHA, A.MAK BAZISOKHI LAIA, SE"
357,"Adrianus Aroziduhu Gulo, SH.,MH","Oneyus Halawa, SE","info pasangan calon Adrianus Aroziduhu Gulo, SH.,MH Oneyus Halawa, SE"
840,"Faduhusi Daely, S.Pd",Khenoki Waruwu,"info pasangan calon Faduhusi Daely, S.Pd Khenoki Waruwu"
1178,"H. OKTA RIJAYA M, S.H.I.",SALAMU SOLIKHIN,"info pasangan calon H. OKTA RIJAYA M, S.H.I. SALAMU SOLIKHIN"
1180,"H. DENDI RAMADHONA, S.T.","ERIAWAN, S.H.","info pasangan calon H. DENDI RAMADHONA, S.T. ERIAWAN, S.H."
593,"KRT. OKING GANDA MIHARJA, SH","IRAWAN TOPANI, SH, M.Kn","info pasangan calon KRT. OKING GANDA MIHARJA, SH IRAWAN TOPANI, SH, M.Kn"
949,"DR. Drs. Agus Istiqlal, SH, MH","Erlina, SP, MH","info pasangan calon DR. Drs. Agus Istiqlal, SH, MH Erlina, SP, MH"
952,"Aria Lukita Budiwan, ST","Ir. Efan Tolani, M.Si","info pasangan calon Aria Lukita Budiwan, ST Ir. Efan Tolani, M.Si"
90,IR. H. JAMAL NASER,"H. SYAHRIAL, ST","info pasangan calon IR. H. JAMAL NASER H. SYAHRIAL, ST"
761,"H. Hendrajoni, SH, MH","Drs. Rusma Yul Anwar, M.Pd","info pasangan calon H. Hendrajoni, SH, MH Drs. Rusma Yul Anwar, M.Pd"
767,"Drs. Editiwarman, M.Si","Bakri Bakar, SH","info pasangan calon Drs. Editiwarman, M.Si Bakri Bakar, SH"
845,"H. Alirman Sori, SH, M.Hum, MM","H. Raswin, SH, MM","info pasangan calon H. Alirman Sori, SH, M.Hum, MM H. Raswin, SH, MM"
454,"Prof. DR. Misranto, S.H. M.Hum.","ISNEN SUPRIYONO, S.Pd., M.MPd.","info pasangan calon Prof. DR. Misranto, S.H. M.Hum. ISNEN SUPRIYONO, S.Pd., M.MPd."
418,Drs. H. Ipong Muchlissoni,"Drs. H. Soedjarno, MM","info pasangan calon Drs. H. Ipong Muchlissoni Drs. H. Soedjarno, MM"
420,"H. Amin, SH.","Agus Widodo, SE, M.Si","info pasangan calon H. Amin, SH. Agus Widodo, SE, M.Si"
411,Sugiri Sancoko,Sukirno,info pasangan calon Sugiri Sancoko Sukirno
1061,Ir. Wirabumi Kaluti,"Yohanis Krisnajaya Syaiban, S.I.P","info pasangan calon Ir. Wirabumi Kaluti Yohanis Krisnajaya Syaiban, S.I.P"
1064,"FRANY E. S DJARUU, SSI, M.Kes","H. ABD. GANI T. ISRAIL, S.Ag","info pasangan calon FRANY E. S DJARUU, SSI, M.Kes H. ABD. GANI T. ISRAIL, S.Ag"
1065,"Drs. AMDJAD LAWASA, MM","MAXNOVER KAIYA, S.Sos","info pasangan calon Drs. AMDJAD LAWASA, MM MAXNOVER KAIYA, S.Sos"
784,H. Zainal Mus,"Arifin H. Abd. Majid, SE, MT","info pasangan calon H. Zainal Mus Arifin H. Abd. Majid, SE, MT"
793,"Aliong Mus, ST",Ramli,"info pasangan calon Aliong Mus, ST Ramli"
897,"H. TASDI, SH,MM","DYAH HAYUNING PRATIWI, SE, B.ECON","info pasangan calon H. TASDI, SH,MM DYAH HAYUNING PRATIWI, SE, B.ECON"
1207,"SUGENG, SH","SUTJIPTO, SH","info pasangan calon SUGENG, SH SUTJIPTO, SH"
919,"Hj. NURUL TRIWAHYUNI, SE","H. BUDI SUNARYO, A.Md","info pasangan calon Hj. NURUL TRIWAHYUNI, SE H. BUDI SUNARYO, A.Md"
921,"AGUS BASTIAN, SE., MM","YULI HASTUTI, SH","info pasangan calon AGUS BASTIAN, SE., MM YULI HASTUTI, SH"
917,Ir. H. HAMDAN AZHARI,SUHAR,info pasangan calon Ir. H. HAMDAN AZHARI SUHAR
721,"ABDUL FARIS UMLATI, SE.","MANUEL PITER URBINAS, S.Pi., M.Si.","info pasangan calon ABDUL FARIS UMLATI, SE. MANUEL PITER URBINAS, S.Pi., M.Si."
